x,y,for_cover_km2
4455349.2981,2694313.2586,16.939
4455349.2981,2689313.2586,11.984
4455349.2981,2684313.2586,3.034
4455349.2981,2679313.2586,8.562
4455349.2981,2674313.2586,18.371
4455349.2981,2669313.2586,17.798
4455349.2981,2664313.2586,3.127
4455349.2981,2659313.2586,0.548
4455349.2981,2654313.2586,0
4460349.2981,2724313.2586,18.27
4460349.2981,2719313.2586,24.304
4460349.2981,2714313.2586,22.079
4460349.2981,2709313.2586,19.029
4460349.2981,2704313.2586,17.529
4460349.2981,2699313.2586,14.183
4460349.2981,2694313.2586,14.958
4460349.2981,2689313.2586,16.02
4460349.2981,2684313.2586,15.717
4460349.2981,2679313.2586,17.529
4460349.2981,2674313.2586,20.495
4460349.2981,2669313.2586,11.925
4460349.2981,2664313.2586,2.545
4460349.2981,2659313.2586,0
4465349.2981,2729313.2586,0.388
4465349.2981,2724313.2586,14.512
4465349.2981,2719313.2586,23.251
4465349.2981,2714313.2586,19.383
4465349.2981,2709313.2586,14.478
4465349.2981,2704313.2586,20.048
4465349.2981,2699313.2586,15.498
4465349.2981,2694313.2586,13.13
4465349.2981,2689313.2586,13.475
4465349.2981,2684313.2586,17.47
4465349.2981,2679313.2586,12.059
4465349.2981,2674313.2586,11.562
4465349.2981,2669313.2586,4.846
4465349.2981,2664313.2586,1.921
4465349.2981,2659313.2586,0
4470349.2981,2729313.2586,2.225
4470349.2981,2724313.2586,23.605
4470349.2981,2719313.2586,21.961
4470349.2981,2714313.2586,12.7
4470349.2981,2709313.2586,19.669
4470349.2981,2704313.2586,21.06
4470349.2981,2699313.2586,12.127
4470349.2981,2694313.2586,4.121
4470349.2981,2689313.2586,2.25
4470349.2981,2684313.2586,10.526
4470349.2981,2679313.2586,13.138
4470349.2981,2674313.2586,10.989
4470349.2981,2669313.2586,5.191
4470349.2981,2664313.2586,0.025
4475349.2981,2729313.2586,0.11
4475349.2981,2724313.2586,20.908
4475349.2981,2719313.2586,17.478
4475349.2981,2714313.2586,9.388
4475349.2981,2709313.2586,20.638
4475349.2981,2704313.2586,19.046
4475349.2981,2699313.2586,14.082
4475349.2981,2694313.2586,12.877
4475349.2981,2689313.2586,2.014
4475349.2981,2684313.2586,14.849
4475349.2981,2679313.2586,4.062
4475349.2981,2674313.2586,1.542
4475349.2981,2669313.2586,1.348
4475349.2981,2664313.2586,0
4480349.2981,2739313.2586,0.152
4480349.2981,2734313.2586,3.135
4480349.2981,2729313.2586,0.329
4480349.2981,2724313.2586,16.88
4480349.2981,2719313.2586,17.638
4480349.2981,2714313.2586,18.38
4480349.2981,2709313.2586,16.425
4480349.2981,2704313.2586,21.043
4480349.2981,2699313.2586,21.144
4480349.2981,2694313.2586,6.025
4480349.2981,2689313.2586,0
4480349.2981,2684313.2586,0.143
4480349.2981,2674313.2586,0
4480349.2981,2669313.2586,0
4480349.2981,2659313.2586,0
4480349.2981,2654313.2586,0
4480349.2981,2649313.2586,0
4485349.2981,2739313.2586,8.537
4485349.2981,2734313.2586,16.029
4485349.2981,2729313.2586,10.728
4485349.2981,2724313.2586,22.872
4485349.2981,2719313.2586,21.077
4485349.2981,2714313.2586,18.936
4485349.2981,2709313.2586,11.107
4485349.2981,2704313.2586,19.492
4485349.2981,2699313.2586,17.09
4485349.2981,2694313.2586,7.408
4485349.2981,2664313.2586,0
4485349.2981,2659313.2586,0
4485349.2981,2654313.2586,3.211
4485349.2981,2649313.2586,1.264
4485349.2981,2644313.2586,0
4490349.2981,2739313.2586,0.699
4490349.2981,2734313.2586,11.031
4490349.2981,2729313.2586,18.245
4490349.2981,2724313.2586,16.315
4490349.2981,2719313.2586,12.97
4490349.2981,2714313.2586,19.172
4490349.2981,2709313.2586,15.548
4490349.2981,2704313.2586,13.635
4490349.2981,2699313.2586,11.259
4490349.2981,2694313.2586,3.059
4490349.2981,2669313.2586,0
4490349.2981,2664313.2586,0
4490349.2981,2659313.2586,0.733
4490349.2981,2654313.2586,1.188
4490349.2981,2649313.2586,11.823
4490349.2981,2644313.2586,0
4495349.2981,2739313.2586,0.001
4495349.2981,2734313.2586,15.076
4495349.2981,2729313.2586,15.818
4495349.2981,2724313.2586,18.717
4495349.2981,2719313.2586,13.5
4495349.2981,2714313.2586,16.357
4495349.2981,2709313.2586,17.756
4495349.2981,2704313.2586,14.267
4495349.2981,2699313.2586,11.402
4495349.2981,2694313.2586,1.281
4495349.2981,2674313.2586,0
4495349.2981,2669313.2586,0
